,RMSE,MAE,R2,MAPE,Tiempo_Entrenamiento_s
Random Forest Regressor (Tuned),0.5055,0.3283,0.805,0.1896,14.315
Ridge Regression (Tuned),0.7456,0.5332,0.5758,0.3195,4.8684
